            sIP|            dIP|     packets|          bytes|                     sTime|                     eTime|
  192.168.40.20|192.168.122.235|           8|           3272|2015/06/02T13:45:26.355000|2015/06/02T13:45:26.383000|
     10.0.40.53|192.168.122.141|           2|             80|2015/06/02T13:40:41.973000|2015/06/02T13:40:41.976000|
     10.0.40.53|192.168.122.141|           9|            408|2015/06/02T13:45:45.961000|2015/06/02T13:45:45.972000|
     10.0.40.20|192.168.122.195|          12|           1674|2015/06/02T13:46:03.559000|2015/06/02T13:46:03.607000|
     10.0.40.20|192.168.122.195|           2|             80|2015/06/02T13:46:03.607000|2015/06/02T13:46:03.607000|
  192.168.40.20|192.168.122.146|           8|           3272|2015/06/02T13:46:06.976000|2015/06/02T13:46:07.006000|
     10.0.40.53|192.168.122.235|           9|            408|2015/06/02T13:46:10.563000|2015/06/02T13:46:10.575000|
     10.0.40.53|192.168.122.235|           1|             40|2015/06/02T13:41:07.155000|2015/06/02T13:41:07.155000|
     10.0.40.21|192.168.122.141|           9|           2128|2015/06/02T13:46:18.720000|2015/06/02T13:46:18.760000|
     10.0.40.21|192.168.122.141|           1|             40|2015/06/02T13:46:18.760000|2015/06/02T13:46:18.760000|
     10.0.40.21|192.168.122.141|           1|             40|2015/06/02T13:46:18.762000|2015/06/02T13:46:18.762000|
     10.0.40.21|192.168.122.141|           1|             40|2015/06/02T13:46:18.762000|2015/06/02T13:46:18.762000|
     10.0.40.53|192.168.122.146|           1|             40|2015/06/02T13:41:19.821000|2015/06/02T13:41:19.821000|
     10.0.40.53|192.168.122.195|           1|             40|2015/06/02T13:41:21.756000|2015/06/02T13:41:21.756000|
     10.0.40.20|192.168.122.235|           2|             80|2015/06/02T13:41:22.726000|2015/06/02T13:41:22.727000|
     10.0.40.53|192.168.122.146|           9|            408|2015/06/02T13:46:23.823000|2015/06/02T13:46:23.837000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:46:26.740000|2015/06/02T13:46:26.751000|
     10.0.40.21|192.168.122.195|          11|           2208|2015/06/02T13:46:28.636000|2015/06/02T13:46:28.660000|
     10.0.40.21|192.168.122.195|           1|             40|2015/06/02T13:46:28.660000|2015/06/02T13:46:28.660000|
     10.0.40.53|192.168.122.141|           8|            368|2015/06/02T13:46:46.973000|2015/06/02T13:46:46.983000|
  192.168.40.20|192.168.122.141|           7|            877|2015/06/02T13:46:55.851000|2015/06/02T13:46:55.881000|
     10.0.40.53|192.168.122.141|           1|             40|2015/06/02T13:41:42.256000|2015/06/02T13:41:42.256000|
     10.0.40.53|192.168.122.235|           9|            408|2015/06/02T13:47:11.559000|2015/06/02T13:47:11.570000|
     10.0.40.53|192.168.122.146|           9|            408|2015/06/02T13:47:24.712000|2015/06/02T13:47:24.723000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:47:27.736000|2015/06/02T13:47:27.749000|
